time;centralHeatMeter
2018-03-03;45019.81464
2018-03-04;45212.09204
2018-03-05;45343.29248
2018-03-06;45458.39799
2018-03-07;45593.80436
2018-03-08;45728.60217
2018-03-09;45852.21957
2018-03-10;45931.84834
2018-03-11;46021.5674
2018-03-12;46107.75219
2018-03-13;46213.59108
2018-03-14;46305.82979
2018-03-15;46408.94268
2018-03-16;46533.78482
2018-03-17;46628.52349
2018-03-18;46781.96774
2018-03-19;46963.36393
2018-03-20;47152.39354
2018-03-21;47328.92616
2018-03-22;47525.68358
2018-03-23;47674.60226
2018-03-24;47775.75496
2018-03-25;47876.57217
2018-03-26;47967.92701
2018-03-27;48073.72569
2018-03-28;48175.29118
2018-03-29;48252.43252
2018-03-30;48376.92913
2018-03-31;48463.06328
2018-04-01;48580.19771
2018-04-02;48695.86748
2018-04-03;48772.13173
2018-04-04;48790.27392
2018-04-05;48851.13982
2018-04-06;48929.15788
2018-04-07;48979.28323
2018-04-08;48993.00233
2018-04-09;48993.00233
2018-04-10;48997.89122
2018-04-11;49067.36103
2018-04-12;49112.64817
2018-04-13;49151.58567
2018-04-14;49203.05916
2018-04-15;49232.2604
2018-04-16;49273.78012
2018-04-17;49308.5893
2018-04-18;49315.00234
2018-04-19;49330.65295
2018-04-20;49338.00234
2018-04-21;49338.00234
2018-04-22;49338.00234
2018-04-23;49338.00234
2018-04-24;49338.00234
2018-04-25;49338.00234
2018-04-26;49338.42542
2018-04-27;49360.3537
2018-04-28;49367.00234
2018-04-29;49367.00234
2018-04-30;49367.00234
2018-05-01;49378.22457
2018-05-02;49429.10624
2018-05-03;49459.56235
2018-05-04;49466.00235
2018-05-05;49466.00235
2018-05-06;49466.00235
2018-05-07;49466.00235
2018-05-08;49466.00235
2018-05-09;49466.00235
2018-05-10;49466.26425
2018-05-11;49485.66902
2018-05-12;49492.00235
2018-05-13;49492.00235
2018-05-14;49527.96706
2018-05-15;49571.9791
2018-05-16;49621.61347
2018-05-17;49674.92919
2018-05-18;49708.01413
2018-05-19;49714.00236
2018-05-20;49714.00236
2018-05-21;49714.00236
2018-05-22;49714.00236
2018-05-23;49714.00236
2018-05-24;49714.00236
2018-05-25;49714.00236
2018-05-26;49714.00236
2018-05-27;49714.01323
2018-05-28;49715.00236
2018-05-29;49715.00236
2018-05-30;49715.00236
2018-05-31;49715.00236
2018-06-01;49715.00236
2018-06-02;49715.00236
2018-06-03;49715.00236
2018-06-04;49715.00236
2018-06-05;49715.00236
2018-06-06;49715.00236
2018-06-07;49715.00236
2018-06-08;49715.00236
2018-06-09;49715.43725
2018-06-10;49716.00236
2018-06-11;49716.00236
2018-06-12;49716.00236
2018-06-13;49716.00236
2018-06-14;49717.98438
2018-06-15;49720.00236
2018-06-16;49720.00236
2018-06-17;49720.00236
2018-06-18;49720.00236
2018-06-19;49720.42097
2018-06-20;49721.00236
2018-06-21;49721.00236
2018-06-22;49721.00236
2018-06-23;49721.00236
2018-06-24;49721.00236
2018-06-25;49721.00236
2018-06-26;49721.00236
