time;FlatA_Ele;FlatB_Ele;FlatC_Ele;FlatD_Ele
2018-11-30 23:45:00;5619.889;7246.254;5125.006;8387.030
2018-12-01 00:00:00;5619.904;7246.551;5125.039;8387.085
2018-12-01 00:15:00;5619.929;7246.753;5125.077;8387.137
2018-12-01 00:30:00;5619.952;7246.933;5125.117;8387.181
2018-12-01 00:45:00;5619.973;7247.005;5125.153;8387.222
2018-12-01 01:00:00;5619.988;7247.076;5125.184;8387.255
2018-12-01 01:15:00;5620.011;7247.153;5125.217;8387.286
2018-12-01 01:30:00;5620.031;7247.235;5125.263;8387.323
2018-12-01 01:45:00;5620.046;7247.305;5125.305;8387.365
2018-12-01 02:00:00;5620.068;7247.350;5125.392;8387.394
2018-12-01 02:15:00;5620.092;7247.388;5125.833;8387.420
2018-12-01 02:30:00;5620.115;7247.425;5125.868;8387.453
2018-12-01 02:45:00;5620.130;7247.478;5125.905;8387.483
2018-12-01 03:00:00;5620.146;7247.524;5125.940;8387.507
2018-12-01 03:15:00;5620.171;7247.558;5125.971;8387.539
2018-12-01 03:30:00;5620.188;7247.593;5126.009;8387.564
2018-12-01 03:45:00;5620.205;7247.627;5126.050;8387.587
2018-12-01 04:00:00;5620.230;7247.669;5126.210;8387.610
2018-12-01 04:15:00;5620.254;7247.717;5126.674;8387.635
2018-12-01 04:30:00;5620.275;7247.758;5126.707;8387.666
2018-12-01 04:45:00;5620.291;7247.791;5126.750;8387.692
2018-12-01 05:00:00;5620.307;7247.824;5126.791;8387.721
2018-12-01 05:15:00;5620.334;7247.857;5126.833;8387.750
2018-12-01 05:30:00;5620.351;7247.903;5126.871;8387.772
2018-12-01 05:45:00;5620.371;7247.950;5126.902;8387.794
2018-12-01 06:00:00;5620.395;7247.986;5126.934;8387.817
2018-12-01 06:15:00;5620.420;7248.020;5126.965;8387.845
2018-12-01 06:30:00;5620.457;7248.052;5126.996;8387.875
2018-12-01 06:45:00;5620.473;7248.091;5127.031;8387.900
2018-12-01 07:00:00;5620.500;7248.156;5127.071;8387.938
2018-12-01 07:15:00;5620.547;7248.299;5127.108;8387.977
2018-12-01 07:30:00;5620.565;7248.407;5127.170;8388.000
2018-12-01 07:45:00;5620.588;7248.569;5127.212;8388.023
2018-12-01 08:00:00;5620.755;7248.712;5127.270;8388.049
2018-12-01 08:15:00;5621.013;7248.810;5127.325;8388.080
2018-12-01 08:30:00;5621.094;7248.847;5127.807;8388.115
2018-12-01 08:45:00;5621.140;7248.873;5127.994;8388.144
2018-12-01 09:00:00;5621.215;7248.911;5128.078;8388.165
2018-12-01 09:15:00;5621.258;7248.940;5128.163;8388.201
2018-12-01 09:30:00;5621.440;7248.965;5128.242;8388.295
2018-12-01 09:45:00;5621.503;7248.998;5128.288;8388.386
2018-12-01 10:00:00;5621.732;7249.120;5128.329;8388.867
2018-12-01 10:15:00;5622.110;7249.156;5128.369;8389.210
