Datum,Zeit,Adr,ID-Nr.,HST,Nr.,Wert,Einheit,Beschreibung,Art,Modul,SP-Nr.,Tarif
01.01.10,00:00,1,1,GWF,1,729,kWh,energy,instant.,0,0,0
01.01.10,00:00,1,1,GWF,2,80.92,m^3,volume,instant.,0,0,0
01.01.10,00:00,1,1,GWF,3,80.75,m^3,volume,instant.,1,0,0
01.01.10,00:00,1,1,GWF,4,26,°C,flow temperature,instant.,0,0,0
01.01.10,00:00,1,1,GWF,5,25,°C,return temperature,instant.,0,0,0
01.01.10,00:00,1,1,GWF,6,1.3,K,temperature difference,instant.,0,0,0
01.01.10,00:00,1,1,GWF,7,375,hours,on time,instant.,0,0,0
01.01.10,00:00,1,1,GWF,8,375,hours,operating time,instant.,0,0,0
01.01.10,00:00,1,1,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.01.10,00:00,1,1,GWF,10,0,kW,power,instant.,0,0,0
01.01.10,00:00,1,1,GWF,11,31.12.09 23:58 Win  V,,time point,instant.,0,0,0
01.01.10,00:00,1,1,GWF,12,87,HCA,HCA-Unit,instant.,1,0,0
01.01.10,00:00,1,1,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.01.10,00:00,1,1,GWF,14,0,kWh,energy,instant.,0,1,0
01.01.10,00:00,1,1,GWF,15,0,m^3,volume,instant.,0,1,0
01.01.10,00:00,1,1,GWF,16,0,m^3,volume,instant.,1,1,0
01.01.10,00:00,1,1,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.01.10,00:00,1,1,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.01.10,00:00,1,1,GWF,19,00.00.00,,time point,instant.,0,1,0
01.01.10,00:00,1,1,GWF,20,$00,,M-Bus state,,,,
01.01.10,00:00,2,4,GWF,1,751,kWh,energy,instant.,0,0,0
01.01.10,00:00,2,4,GWF,2,71.97,m^3,volume,instant.,0,0,0
01.01.10,00:00,2,4,GWF,3,71.9,m^3,volume,instant.,1,0,0
01.01.10,00:00,2,4,GWF,4,26,°C,flow temperature,instant.,0,0,0
01.01.10,00:00,2,4,GWF,5,23,°C,return temperature,instant.,0,0,0
01.01.10,00:00,2,4,GWF,6,2.8,K,temperature difference,instant.,0,0,0
01.01.10,00:00,2,4,GWF,7,374,hours,on time,instant.,0,0,0
01.01.10,00:00,2,4,GWF,8,374,hours,operating time,instant.,0,0,0
01.01.10,00:00,2,4,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.01.10,00:00,2,4,GWF,10,0,kW,power,instant.,0,0,0
01.01.10,00:00,2,4,GWF,11,31.12.09 23:58 Win  V,,time point,instant.,0,0,0
01.01.10,00:00,2,4,GWF,12,116,HCA,HCA-Unit,instant.,1,0,0
01.01.10,00:00,2,4,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.01.10,00:00,2,4,GWF,14,0,kWh,energy,instant.,0,1,0
