Datum,Zeit,Adr,ID-Nr.,HST,Nr.,Wert,Einheit,Beschreibung,Art,Modul,SP-Nr.,Tarif
16.12.09,12:57,1,001,GWF,1,5,kWh,energy,instant.,0,0,0
16.12.09,12:57,1,001,GWF,2,0.62,m^3,volume,instant.,0,0,0
16.12.09,12:57,1,001,GWF,3,0.62,m^3,volume,instant.,1,0,0
16.12.09,12:57,1,001,GWF,4,30,°C,flow temperature,instant.,0,0,0
16.12.09,12:57,1,001,GWF,5,23,°C,return temperature,instant.,0,0,0
16.12.09,12:57,1,001,GWF,6,6.8,K,temperature difference,instant.,0,0,0
16.12.09,12:57,1,001,GWF,7,4,hours,on time,instant.,0,0,0
16.12.09,12:57,1,001,GWF,8,4,hours,operating time,instant.,0,0,0
16.12.09,12:57,1,001,GWF,9,152,l/h,volume flow,instant.,0,0,0
16.12.09,12:57,1,001,GWF,10,1.14,kW,power,instant.,0,0,0
16.12.09,12:57,1,001,GWF,11,16.12.09 12:57 Win  V,"",time point,instant.,0,0,0
16.12.09,12:57,1,001,GWF,12,31,HCA,HCA-Unit,instant.,1,0,0
16.12.09,12:57,1,001,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
16.12.09,12:57,1,001,GWF,14,0,kWh,energy,instant.,0,1,0
16.12.09,12:57,1,001,GWF,15,0.00,m^3,volume,instant.,0,1,0
16.12.09,12:57,1,001,GWF,16,0.00,m^3,volume,instant.,1,1,0
16.12.09,12:57,1,001,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
16.12.09,12:57,1,001,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
16.12.09,12:57,1,001,GWF,19,00.00.00,"",time point,instant.,0,1,0
16.12.09,12:57,1,001,GWF,20,$00,"",M-Bus state,"","","",""
16.12.09,12:57,2,002,GWF,1,7,kWh,energy,instant.,0,0,0
16.12.09,12:57,2,002,GWF,2,0.60,m^3,volume,instant.,0,0,0
16.12.09,12:57,2,002,GWF,3,0.60,m^3,volume,instant.,1,0,0
16.12.09,12:57,2,002,GWF,4,30,°C,flow temperature,instant.,0,0,0
16.12.09,12:57,2,002,GWF,5,20,°C,return temperature,instant.,0,0,0
16.12.09,12:57,2,002,GWF,6,9.5,K,temperature difference,instant.,0,0,0
16.12.09,12:57,2,002,GWF,7,3,hours,on time,instant.,0,0,0
16.12.09,12:57,2,002,GWF,8,3,hours,operating time,instant.,0,0,0
16.12.09,12:57,2,002,GWF,9,161,l/h,volume flow,instant.,0,0,0
16.12.09,12:57,2,002,GWF,10,1.76,kW,power,instant.,0,0,0
16.12.09,12:57,2,002,GWF,11,16.12.09 12:58 Win  V,"",time point,instant.,0,0,0
16.12.09,12:57,2,002,GWF,12,2,HCA,HCA-Unit,instant.,1,0,0
16.12.09,12:57,2,002,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
16.12.09,12:57,2,002,GWF,14,0,kWh,energy,instant.,0,1,0
16.12.09,12:57,2,002,GWF,15,0.00,m^3,volume,instant.,0,1,0
16.12.09,12:57,2,002,GWF,16,0.00,m^3,volume,instant.,1,1,0
16.12.09,12:57,2,002,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
16.12.09,12:57,2,002,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
16.12.09,12:57,2,002,GWF,19,00.00.00,"",time point,instant.,0,1,0
16.12.09,12:57,2,002,GWF,20,$00,"",M-Bus state,"","","",""
16.12.09,12:57,3,003,GWF,1,7,kWh,energy,instant.,0,0,0
16.12.09,12:57,3,003,GWF,2,0.58,m^3,volume,instant.,0,0,0
16.12.09,12:57,3,003,GWF,3,0.58,m^3,volume,instant.,1,0,0
