time;FlatA_Hum;FlatA_Temp;FlatB_Hum;FlatB_Temp;FlatC_Hum;FlatC_Temp;FlatD_Hum;FlatD_Temp
2018-10-03 00:00:00;53.0;24.43;38.8;22.40;44.0;24.50;49.0;24.43
2018-10-03 01:00:00;53.0;24.40;38.8;22.40;44.0;24.50;49.0;24.40
2018-10-03 02:00:00;53.0;24.40;39.3;22.40;44.7;24.50;48.3;24.38
2018-10-03 03:00:00;53.0;24.40;40.3;22.40;45.0;24.50;48.0;24.33
2018-10-03 04:00:00;53.3;24.40;41.0;22.37;45.2;24.50;47.7;24.30
2018-10-03 05:00:00;53.7;24.40;41.2;22.30;47.2;24.57;47.2;24.30
2018-10-03 06:00:00;50.8;24.32;42.5;22.40;47.0;24.60;46.3;24.28
2018-10-03 07:00:00;;;42.2;22.40;46.7;24.60;52.0;24.30
2018-10-03 08:00:00;42.7;24.05;42.0;22.45;46.0;24.60;54.3;24.30
2018-10-03 09:00:00;46.0;23.93;41.2;22.50;46.2;24.60;;
2018-10-03 10:00:00;41.3;23.82;42.0;22.55;47.0;24.70;;
2018-10-03 11:00:00;41.7;23.73;44.0;22.67;49.7;24.77;48.0;24.35
2018-10-03 12:00:00;45.0;23.90;45.7;22.80;45.5;24.80;52.5;24.55
2018-10-03 13:00:00;46.5;24.00;45.0;22.82;45.8;24.80;53.7;24.68
2018-10-03 14:00:00;47.2;24.00;45.0;22.90;47.0;24.80;50.3;24.62
2018-10-03 15:00:00;48.2;24.07;45.0;22.90;43.2;24.73;49.2;24.60
2018-10-03 16:00:00;50.7;24.20;45.3;22.90;43.7;24.60;52.2;24.68
2018-10-03 17:00:00;55.2;24.27;46.0;22.90;45.0;24.60;53.8;24.70
2018-10-03 18:00:00;54.7;24.30;46.8;22.90;45.5;24.60;53.5;24.60
2018-10-03 19:00:00;55.2;24.32;46.5;22.83;48.0;24.63;;
2018-10-03 20:00:00;55.8;24.40;45.8;22.78;47.8;24.70;53.0;24.50
2018-10-03 21:00:00;55.8;24.37;45.0;22.70;47.0;24.70;52.7;24.50
2018-10-03 22:00:00;53.8;24.28;45.5;22.70;47.2;24.68;52.0;24.43
2018-10-03 23:00:00;53.0;24.22;46.2;22.70;47.3;24.60;51.0;24.40
2018-10-04 00:00:00;53.0;24.20;45.3;22.68;48.0;24.57;51.0;24.37
2018-10-04 01:00:00;53.7;24.20;45.0;22.62;48.0;24.50;50.7;24.30
2018-10-04 02:00:00;53.8;24.20;45.0;22.50;48.0;24.48;50.0;24.30
