time;roomAirQuality
2020-03-29 00:30:13;676
2020-03-29 01:30:04;598
2020-03-29 03:30:04;546
2020-03-29 05:30:03;524
2020-03-29 06:30:03;526
2020-03-29 07:30:03;527
2020-03-29 07:59:07;528
2020-03-29 08:59:02;511
2020-03-29 09:59:02;512
2020-03-29 10:59:02;582
2020-03-29 11:59:02;446
2020-03-29 12:59:01;429
2020-03-29 13:59:01;443
2020-03-29 14:59:00;475
2020-03-29 15:59:00;477
2020-03-29 16:59:00;488
2020-03-29 17:59:00;524
2020-03-29 18:58:59;621
2020-03-29 19:58:59;657
2020-03-29 20:58:59;641
2020-03-29 21:58:58;654
2020-03-29 22:58:58;721
2020-03-29 23:58:58;703
2020-03-30 00:58:57;707
2020-03-30 01:58:57;599
2020-03-30 02:58:57;584
2020-03-30 03:58:56;574
2020-03-30 04:58:56;565
2020-03-30 05:58:56;562
2020-03-30 06:58:56;560
2020-03-30 07:58:55;547
2020-03-30 08:58:55;534
2020-03-30 09:58:55;531
2020-03-30 10:58:54;632
2020-03-30 11:58:54;743
2020-03-30 12:58:54;466
2020-03-30 13:58:53;703
2020-03-30 14:58:53;1027
2020-03-30 15:58:53;786
2020-03-30 16:58:52;915
2020-03-30 17:58:52;949
2020-03-30 18:58:52;757
2020-03-30 19:58:52;621
2020-03-30 20:58:51;639
2020-03-30 21:58:51;883
2020-03-30 22:58:51;677
2020-03-30 23:58:50;595
2020-03-31 00:58:50;706
2020-03-31 01:58:50;693
2020-03-31 02:58:49;691
2020-03-31 03:58:49;873
2020-03-31 04:58:49;926
2020-03-31 05:58:48;877
2020-03-31 06:58:48;936
2020-03-31 07:58:48;645
2020-03-31 08:58:48;599
2020-03-31 09:58:47;618
2020-03-31 10:58:47;597.1666667
2020-03-31 11:58:47;437.1666667
2020-03-31 12:58:46;519.6666667
2020-03-31 13:58:46;631
2020-03-31 14:58:46;720
2020-03-31 15:58:45;787.8333333
2020-03-31 16:58:45;652.5
2020-03-31 17:58:45;517.5
2020-03-31 18:58:44;519.8333333
2020-03-31 19:58:44;601.5
2020-03-31 20:58:44;611.6666667
2020-03-31 21:58:44;756.8333333
2020-03-31 22:58:43;904.5
2020-03-31 23:58:43;856.1666667
2020-04-01 00:58:43;798.1666667
2020-04-01 01:58:42;785.6666667
2020-04-01 02:58:42;791.6666667
2020-04-01 03:58:42;863.5
2020-04-01 04:58:41;892.3333333
2020-04-01 05:58:41;896.5
2020-04-01 06:58:41;874.5
2020-04-01 07:58:40;804
2020-04-01 07:58:44;804
2020-04-01 07:58:50;804
2020-04-01 08:58:40;641.6666667
2020-04-01 09:58:40;668
2020-04-01 10:58:40;678.1666667
2020-04-01 11:58:39;591.6666667
2020-04-01 12:58:39;573.6666667
2020-04-01 13:58:39;665.3333333
2020-04-01 14:58:38;742.6666667
2020-04-01 15:58:38;661.6666667
2020-04-01 16:58:38;655.5
2020-04-01 17:58:37;597.6666667
2020-04-01 18:58:37;465.8333333
2020-04-01 19:58:37;446.1666667
2020-04-01 20:58:36;485
2020-04-01 21:58:36;628.6666667
2020-04-01 22:58:36;737.3333333
2020-04-01 23:58:36;843.3333333
2020-04-02 00:58:35;893.6666667
2020-04-02 01:58:35;879.6666667
2020-04-02 02:58:35;894.1666667
2020-04-02 03:58:34;880.5
2020-04-02 04:58:34;907.3333333
2020-04-02 05:58:34;863
2020-04-02 06:58:33;906
2020-04-02 07:58:33;824.1666667
2020-04-02 07:58:38;824.1666667
2020-04-02 08:58:33;713.3333333
2020-04-02 10:58:32;477.5
2020-04-02 11:58:32;463.8333333
2020-04-02 12:58:32;459.8333333
2020-04-02 13:58:31;442.6666667
2020-04-02 14:58:31;575
2020-04-02 15:58:31;729.3333333
2020-04-02 16:58:30;624.1666667
2020-04-02 17:58:30;616.5
2020-04-02 18:58:30;558
2020-04-02 19:58:30;475.6666667
2020-04-02 20:58:29;477.1666667
2020-04-02 21:58:29;591.6666667
2020-04-02 22:58:29;700.6666667
2020-04-02 23:58:28;738
2020-04-03 00:58:28;759
2020-04-03 01:58:28;768.3333333
2020-04-03 02:58:27;878.1666667
2020-04-03 03:58:27;859.1666667
2020-04-03 04:58:27;885.5
2020-04-03 05:58:26;893.6666667
2020-04-03 06:58:26;869
2020-04-03 07:58:26;806.6666667
2020-04-03 08:58:26;612.5
2020-04-03 09:58:25;616.6666667
2020-04-03 10:58:25;524.1666667
2020-04-03 11:58:25;427
2020-04-03 12:58:24;438.3333333
2020-04-03 13:58:24;438
2020-04-03 14:58:24;433.6666667
2020-04-03 15:58:23;520.3333333
2020-04-03 16:58:23;448.3333333
2020-04-03 17:58:23;440.3333333
2020-04-03 18:58:22;457
2020-04-03 19:58:22;606.8333333
2020-04-03 20:58:22;671.8333333
2020-04-03 21:58:22;650.1666667
2020-04-03 22:58:21;730.8333333
2020-04-03 23:58:21;734.8333333
2020-04-04 00:58:21;788.3333333
2020-04-04 01:58:20;911.3333333
2020-04-04 02:58:20;860.1666667
2020-04-04 03:58:20;912.6666667
2020-04-04 05:58:19;915
2020-04-04 06:58:19;865.8333333
2020-04-04 07:58:19;873.3333333
2020-04-04 08:58:18;610.3333333
2020-04-04 09:58:18;474.1666667
2020-04-04 10:58:18;444.3333333
2020-04-04 11:58:17;438.3333333
2020-04-04 12:58:17;442.8333333
2020-04-04 13:58:17;439.3333333
2020-04-04 14:58:16;535.5
2020-04-04 15:58:16;584.3333333
2020-04-04 16:58:16;595
2020-04-04 17:58:15;551.6666667
2020-04-04 18:58:15;561
2020-04-04 19:58:15;532.8333333
2020-04-04 20:58:15;504.8333333
2020-04-04 21:58:14;531.5
2020-04-04 22:58:14;655
2020-04-04 23:58:14;716.5
2020-04-05 00:58:13;745
2020-04-05 01:58:13;759.1666667
2020-04-05 02:58:13;765.8333333
2020-04-05 03:58:12;839.3333333
2020-04-05 04:58:12;926.6666667
2020-04-05 05:58:12;877.5
2020-04-05 06:58:12;914.6666667
2020-04-05 07:58:11;896.8333333
2020-04-05 07:58:15;896.8333333
2020-04-05 08:58:11;793
2020-04-05 09:58:11;655
2020-04-05 10:58:10;540.8333333
2020-04-05 11:58:10;503.5
2020-04-05 12:58:10;478.6666667
2020-04-05 13:58:09;460.3333333
2020-04-05 14:58:09;461
2020-04-05 15:58:09;552
2020-04-05 16:58:08;534.5
2020-04-05 17:58:08;477.6666667
2020-04-05 18:58:08;453.5
2020-04-05 19:58:08;464.5
2020-04-05 20:58:07;440
2020-04-05 21:58:07;567.8333333
2020-04-05 22:58:07;741.3333333
2020-04-05 23:58:06;830.6666667
2020-04-06 00:58:06;899.1666667
2020-04-06 01:58:06;859
2020-04-06 02:58:05;896.6666667
2020-04-06 03:58:05;852.3333333
2020-04-06 04:58:05;845.5
2020-04-06 05:58:04;865.5
2020-04-06 06:58:04;868
2020-04-06 07:58:04;848
2020-04-06 07:58:09;848
2020-04-06 07:58:13;848
2020-04-06 08:58:06;611
2020-04-06 09:58:06;564.6666667
2020-04-06 10:58:03;445.1666667
2020-04-06 11:58:03;444.6666667
2020-04-06 12:58:02;439
2020-04-06 13:58:02;434.6666667
2020-04-06 14:58:02;439
2020-04-06 15:58:01;436.6666667
2020-04-06 16:58:01;438.3333333
2020-04-06 17:58:01;449.3333333
2020-04-06 18:58:00;440.6666667
2020-04-06 19:58:00;443.1666667
2020-04-06 20:58:00;522
2020-04-06 21:58:00;601
2020-04-06 22:57:59;642.3333333
2020-04-06 23:57:59;649.6666667
2020-04-07 00:57:59;638.6666667
2020-04-07 01:57:58;623.5
2020-04-07 02:57:58;615.1666667
2020-04-07 03:57:58;610
2020-04-07 04:57:57;569
2020-04-07 05:57:57;533
2020-04-07 06:57:57;516.3333333
2020-04-07 07:57:56;526.1666667
2020-04-07 08:57:56;597.1666667
2020-04-07 09:57:56;553.1666667
2020-04-07 10:57:56;657.8333333
2020-04-07 11:57:55;613.5
2020-04-07 12:57:55;627.1666667
2020-04-07 13:57:55;456.5
2020-04-07 14:57:54;682.3333333
2020-04-07 15:57:54;616.6666667
2020-04-07 16:57:54;477.3333333
2020-04-07 17:57:53;477.8333333
2020-04-07 18:57:53;470.6666667
2020-04-07 19:57:53;438.5
2020-04-07 20:57:52;455.3333333
2020-04-07 21:57:52;471.1666667
2020-04-07 22:57:52;569.6666667
2020-04-07 23:57:52;645.3333333
2020-04-08 00:57:51;672.5
2020-04-08 01:57:51;692.8333333
2020-04-08 02:57:51;661.6666667
2020-04-08 03:57:50;631.6666667
2020-04-08 04:57:50;577
2020-04-08 05:57:50;545.5
2020-04-08 06:57:49;514.6666667
2020-04-08 07:57:49;511.1666667
2020-04-08 07:57:54;511.1666667
2020-04-08 07:57:58;511.1666667
2020-04-08 08:57:49;486.6666667
2020-04-08 09:57:48;695.1666667
2020-04-08 10:57:48;800.6666667
2020-04-08 11:57:48;577.3333333
2020-04-08 12:57:47;468.6666667
2020-04-08 13:57:47;569.6666667
2020-04-08 14:57:47;808
2020-04-08 15:57:47;498.3333333
2020-04-08 16:57:46;422.8333333
2020-04-08 17:57:46;410.3333333
2020-04-08 18:57:46;408.8333333
2020-04-08 19:57:45;412.3333333
2020-04-08 20:57:45;414.3333333
2020-04-08 21:57:45;441.3333333
2020-04-08 22:57:44;504
2020-04-08 23:57:44;544.3333333
2020-04-09 00:57:44;554.8333333
2020-04-09 01:57:43;559.3333333
2020-04-09 02:57:43;513.3333333
2020-04-09 03:57:43;463.8333333
2020-04-09 04:57:42;453.8333333
2020-04-09 05:57:42;440.3333333
2020-04-09 06:57:42;447.3333333
2020-04-09 07:57:42;483
2020-04-09 08:57:41;677.3333333
2020-04-09 09:57:41;795.8333333
2020-04-09 10:57:41;800.1666667
2020-04-09 11:57:40;996.1666667
2020-04-09 12:57:40;878.1666667
2020-04-09 13:57:40;431.5
2020-04-09 14:57:39;599.6666667
2020-04-09 15:57:39;691.6666667
2020-04-09 16:57:39;421.3333333
2020-04-09 17:57:38;411.3333333
2020-04-09 18:57:38;410.8333333
2020-04-09 19:57:38;416.3333333
2020-04-09 20:57:38;429.1666667
2020-04-09 21:57:37;462.5
2020-04-09 22:57:37;505.6666667
2020-04-09 23:57:37;587.6666667
2020-04-10 00:57:36;606.8333333
2020-04-10 01:57:36;603.8333333
2020-04-10 02:57:36;598.5
2020-04-10 03:57:35;597
2020-04-10 04:57:35;544.5
2020-04-10 05:57:35;479.8333333
2020-04-10 06:57:34;464
2020-04-10 07:57:34;446.3333333
2020-04-10 07:57:38;446.3333333
2020-04-10 08:57:34;483.8333333
2020-04-10 09:57:33;465.6666667
2020-04-10 10:57:33;472
2020-04-10 11:57:33;472
2020-04-10 12:57:33;467.1666667
2020-04-10 13:57:32;459.5
2020-04-10 14:57:32;452.5
2020-04-10 15:57:32;439
2020-04-10 16:57:31;435.3333333
